id,en,ru
LOADING,Loading,Загрузка
D_ALTERNATE_SCENE,"Well, let's start","Хорошо, начнём"
SETTINGS,Settings,Настройки
QUIT,Quit,Выйти
CONFIRM,Do you really want to quit?,Вы действительно хотите выйти?
YES,Yes,Да
NO,No,Нет
LANG,Lang,Язык
AUDIO,Audio,Аудио
GRAPHICS,Graphics,Графика
INFO,Info,Инфо
MUSIC_VOLUME,Music volume,Громкость музыки
EFFECTS_VOLUME,Effects volume,Громкость эффектов
RESET,Reset,Сбросить
VSYNC,Vsync,Верт. син.
FULLSCREEN,Fullscreen,Полный экран
SITE,Open site,Открыть сайт
GODOT,Created with Godot Engine,Создано при помощи Godot Engine
CHANGELOG,Changelog:,Список изменений:
CHANGES,-Check out itch.io,-Проверьте itch.io
AUTHORS,Authors:,Авторы:
JOYSTICK,Joystick script:,Скрипт джойстика:
MUSIC,Music:,Музыка:
CONTACT,Contact us:,Свяжитесь с нами:
SUPPORT,"Support us, we are hungry:","Поддержите нас, мы голодные:"
LEGAL,Every character is just the result of our imagination,Каждый персонаж всего лишь результат нашего воображения
NEW_GAME,New game,Новая игра
DELETE,Delete,Удалить
TESTERS,Testers:,Тестеры:
TICKETWINDOW,Ticket window,Окно кассы
DIRECTION,Direction,Направление
COST,Cost,Стоимость
CITYN,City N,Город N
3000RUB,3000 Rub,3000 Руб
CASH,Cash:,Наличные:
PURCHASE,Purchase,Покупка
BUY,Buy,Купить
LOAD,Load,Загрузить
SAVE,Save,Сохранить
LOAD_GAME,Load game,Загрузить игру
