id,ru,en
A_FEW_DAYS_LATER,Несколько дней спустя,A few days later
MORNING,Утро,Morning
D_ADT_SINGER_1,"О, привет, это же снова ты!","Oh hello, it's you again!"
D_ADT_SINGER_2,Доброе утро.,Good morning.
D_ADT_SINGER_3,У вас уже началась учёба?,Have you already begun studying?
D_ADT_SINGER_4,"Да, здание ведь почти не пострадало, только в подвал теперь не спуститься.","Yes, the building was almost not damaged, only now it is impossible to go down to the basement."
D_ADT_SINGER_5,А тебе эта ситуация ничего не напоминает?,Does this situation remind you of anything?
D_ADT_SINGER_6,Не думаю.,I don’t think so.
D_ADT_SINGER_7,Тогда ладно. Удачи в учёбе!,Okay then. Good luck with your studies!
D_ADT_SINGER_8,Спасибо.,Thank you.
D_ADT_TEACHER_1,"Знаете, а ведь он занимался довольно интересными исследованиями.","You know, he was doing pretty interesting research."
D_ADT_TEACHER_2,"Порой удивляешься, как всё в нашем мире взаимосвязанно.",Sometimes one wonders how everything in our world is interconnected.
D_ADT_TEACHER_3,"Он был уверен, что для всего можно найти формулу, объясняющую даже самые сложные вещи.",He was sure that for everything you can find a formula that explains even the most complex things.
D_ADT_TEACHER_4,"Надеюсь, что и вы когда-нибудь откроете что-нибудь важное.",I hope you someday discover something important.
SEPTEMBER_21,21 сентября,September 21st
INITIATION_TO_STUDENTS,Посвящение в студенты,Initiation to students
D_ADT_SPEAKER_1,"… Жаль, конечно, что ваша студенческая жизнь так началась.","... It’s a pity, of course, that your student life began this way."
D_ADT_SPEAKER_2,Но теперь уже ничего не поделать.,But now there's nothing to be done.
D_ADT_SPEAKER_3,"На этом все, можете делать все, что душе угодно.","That's all, you can do whatever your heart desires."
D_ADT_SPEAKER_4,Рядом есть домики для желающих поспать.,Nearby there are houses for those who want to sleep.
STREET,Улица,Street
